,RRRRR,RRRRG,RRRGR,RRGRR,RGRRR,GRRRR,RRRGG,RRGGR,RGGRR,GGRRR,GRRRG,RRGRG,RGRGR,GRGRR,RGRRG,GRRGR,GRRGG,RRGGG,RGGGG,GGGGR,GGGRR,GGGGG,GGGRG,GGRGR,RGGGR,GGRRG,GRGRG,RGRGG,GRGGR,GGRGG,RGGRG,GRGGG
RRRRR,0.7577375753964691,0.24226242460353087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRRRG,0.0,0.0,0.6510821044349617,0.0,0.0,0.0,0.34891789556503827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRRGR,0.0,0.0,0.0,0.6516614236752197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3483385763247803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRGRR,0.0,0.0,0.0,0.0,0.6456281579172732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3543718420827267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGRRR,0.0,0.0,0.0,0.0,0.0,0.64461681294599,0.0,0.0,0.0,0.0,0.35538318705401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRRRR,0.6486979707357585,0.3513020292642415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRRGG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803960781046024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196039218953976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRGGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5815562879705531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41844371202944686,0.0
RGGRR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5865478883861237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4134521116138763,0.0,0.0,0.0,0.0,0.0,0.0
GGRRR,0.0,0.0,0.0,0.0,0.0,0.5919600141476945,0.0,0.0,0.0,0.0,0.4080399858523055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRRRG,0.0,0.0,0.597467131056365,0.0,0.0,0.0,0.402532868943635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRGRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925338582964219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40746614170357814,0.0,0.0,0.0,0.0
